created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-06-15T10:58:52+00:00,110,3.67307,2.66765,2.63392,59746.48047,16266.06543,0.85824,0.01264,0.98736,,,,
2025-06-15T10:59:49+00:00,111,3.66145,2.69196,2.66765,59557.37500,16266.06543,0.86026,0.00903,0.99097,,,,
2025-06-15T11:00:38+00:00,112,3.66842,2.67735,2.69197,59670.73047,16266.06543,0.85905,0.00546,0.99454,,,,
2025-06-15T11:01:28+00:00,113,3.65913,2.69685,2.67736,59519.66406,16266.06543,0.86066,0.00723,0.99277,,,,
2025-06-15T11:02:18+00:00,114,3.69179,2.62913,2.69685,60050.89453,16266.06543,0.85502,0.02576,0.97424,,,,
2025-06-15T11:03:07+00:00,115,3.65681,2.70174,2.62913,59481.98047,16266.06543,0.86106,0.02688,0.97312,,,,
2025-06-15T11:03:58+00:00,116,3.69884,2.61480,2.70174,60165.64453,16266.06543,0.85381,0.03325,0.96675,,,,
2025-06-15T11:04:47+00:00,117,3.66842,2.67735,2.61481,59670.73047,16266.06543,0.85905,0.02336,0.97664,,,,
2025-06-15T11:06:38+00:00,118,3.68008,2.65315,2.63392,59860.36719,16266.06543,0.85703,0.00725,0.99275,,,,
2025-06-15T11:07:35+00:00,119,3.70356,2.60529,2.65315,60242.32031,16266.06543,0.85300,0.01837,0.98163,,,,
2025-06-15T11:08:25+00:00,120,3.72250,2.56752,2.60529,60550.50000,16266.06543,0.84978,0.01471,0.98529,,,,
2025-06-15T11:09:17+00:00,121,3.69414,2.62435,2.56752,60089.10938,16266.06543,0.85462,0.02165,0.97835,,,,
2025-06-15T11:11:06+00:00,122,3.70828,2.59581,2.62913,60319.14453,16266.06543,0.85220,0.01284,0.98716,,,,
2025-06-15T11:12:53+00:00,123,3.70592,2.60054,2.59581,60280.72266,16266.06543,0.85260,0.00182,0.99818,,,,
2025-06-15T11:13:43+00:00,124,3.70356,2.60529,2.60055,60242.32031,16266.06543,0.85300,0.00182,0.99818,,,,
2025-06-15T11:14:38+00:00,125,3.70828,2.59581,2.60529,60319.14453,16266.06543,0.85220,0.00365,0.99635,,,,
2025-06-15T11:16:19+00:00,126,3.70356,2.60529,2.60055,60242.32031,16266.06543,0.85300,0.00182,0.99818,,,,
2025-06-15T11:17:09+00:00,127,3.70828,2.59581,2.60529,60319.14453,16266.06543,0.85220,0.00365,0.99635,,,,
2025-06-15T11:17:59+00:00,128,3.71301,2.58635,2.59581,60396.11719,16266.06543,0.85139,0.00366,0.99634,,,,
2025-06-15T11:18:48+00:00,129,3.72488,2.56283,2.58635,60589.18359,16266.06543,0.84938,0.00918,0.99082,,,,
2025-06-15T11:19:38+00:00,130,3.72013,2.57222,2.56283,60511.85156,16266.06543,0.85018,0.00365,0.99635,,,,
2025-06-15T11:20:28+00:00,131,3.72250,2.56752,2.57222,60550.50000,16266.06543,0.84978,0.00183,0.99817,,,,
2025-06-15T11:21:17+00:00,132,3.72488,2.56283,2.56752,60589.18359,16266.06543,0.84938,0.00183,0.99817,,,,
2025-06-15T11:22:07+00:00,133,3.71538,2.58163,2.56283,60434.65234,16266.06543,0.85099,0.00728,0.99272,,,,
2025-06-15T11:22:57+00:00,134,3.71538,2.58163,2.58163,60434.65234,16266.06543,0.85099,0.00000,1.00000,,,,
2025-06-15T11:23:47+00:00,135,3.74159,2.53021,2.58163,60861.02344,16266.06543,0.84656,0.02032,0.97968,,,,
2025-06-15T11:24:37+00:00,136,3.73920,2.53485,2.53021,60822.07031,16266.06543,0.84696,0.00183,0.99817,,,,
2025-06-15T11:25:28+00:00,137,3.72965,2.55348,2.53485,60666.66406,16266.06543,0.84857,0.00730,0.99270,,,,
2025-06-15T11:26:18+00:00,138,3.71775,2.57692,2.55348,60473.23828,16266.06543,0.85059,0.00910,0.99090,,,,
2025-06-15T11:27:08+00:00,139,3.75119,2.51172,2.57692,61017.16797,16266.06543,0.84495,0.02596,0.97404,,,,
2025-06-15T11:28:00+00:00,140,3.77293,2.47053,2.51172,61370.68750,16266.06543,0.84132,0.01667,0.98333,,,,
2025-06-15T11:28:53+00:00,141,3.74879,2.51633,2.47053,60978.07422,16266.06543,0.84535,0.01820,0.98180,,,,
2025-06-15T11:29:47+00:00,142,3.78752,2.44339,2.51633,61608.06641,16266.06543,0.83890,0.02985,0.97015,,,,
2025-06-15T11:30:40+00:00,143,3.78265,2.45241,2.44339,61528.79297,16266.06543,0.83971,0.00368,0.99632,,,,
2025-06-15T11:31:32+00:00,144,3.78752,2.44339,2.45241,61608.06641,16266.06543,0.83890,0.00369,0.99631,,,,
2025-06-15T11:32:22+00:00,145,3.78265,2.45241,2.44339,61528.79297,16266.06543,0.83971,0.00368,0.99632,,,,
2025-06-15T11:33:12+00:00,146,3.78752,2.44339,2.45241,61608.06641,16266.06543,0.83890,0.00369,0.99631,,,,
2025-06-15T11:34:01+00:00,147,3.78265,2.45241,2.44339,61528.79297,16266.06543,0.83971,0.00368,0.99632,,,,
2025-06-15T11:34:51+00:00,148,3.78996,2.43889,2.45241,61647.76953,16266.06543,0.83850,0.00554,0.99446,,,,
2025-06-15T11:35:41+00:00,149,3.78996,2.43889,2.43889,61647.76953,16266.06543,0.83850,0.00000,1.00000,,,,
2025-06-15T11:36:30+00:00,150,3.79240,2.43439,2.43889,61687.50000,16266.06543,0.83810,0.00185,0.99815,,,,
2025-06-15T11:37:20+00:00,151,3.79240,2.43439,2.43439,61687.50000,16266.06543,0.83810,0.00000,1.00000,,,,
2025-06-15T11:38:09+00:00,152,3.79485,2.42991,2.43439,61727.27344,16266.06543,0.83769,0.00185,0.99815,,,,
2025-06-15T11:39:09+00:00,153,3.79975,2.42095,2.42991,61806.92969,16266.06543,0.83689,0.00370,0.99630,,,,
2025-06-15T11:39:58+00:00,154,3.79485,2.42991,2.42095,61727.27344,16266.06543,0.83769,0.00368,0.99632,,,,
2025-06-15T11:40:48+00:00,155,3.79975,2.42095,2.42991,61806.92969,16266.06543,0.83689,0.00370,0.99630,,,,
2025-06-15T11:41:37+00:00,156,3.80957,2.40313,2.42095,61966.71875,16266.06543,0.83527,0.00742,0.99258,,,,
2025-06-15T11:42:27+00:00,157,3.80957,2.40313,2.40313,61966.71875,16266.06543,0.83527,0.00000,1.00000,,,,
