date,entry_id,Temperature,Humidity,PM2.5,PM10,CO,CO2
2025-06-18T12:08:28+00:00,2488,27.4,80.4,18.2,24.5,2.42667,404.10071
2025-06-18T12:09:18+00:00,2489,27.4,80.3,17.5,21.8,2.38648,404.1618
2025-06-18T12:10:07+00:00,2490,27.4,80.3,17.2,23.6,2.42667,404.13879
2025-06-18T12:10:57+00:00,2491,27.4,80.3,17.4,21.9,2.41513,404.10831
2025-06-18T12:12:45+00:00,2492,27.4,80.5,17.3,22.7,2.36941,404.14645
2025-06-18T12:13:38+00:00,2493,27.4,80.5,16.7,21.5,2.40364,404.01791
2025-06-18T12:14:30+00:00,2494,27.4,80.6,17.2,22.5,2.4209,404.04034
2025-06-18T12:15:20+00:00,2495,27.4,80.4,16.4,21.5,2.32998,404.16946
2025-06-18T12:16:09+00:00,2496,27.5,80.2,17.1,22.6,2.43826,404.09311
2025-06-18T12:17:00+00:00,2497,27.5,80.3,18.1,23.2,2.39219,404.12354
2025-06-18T12:17:49+00:00,2498,27.5,80.0,16.9,23.1,2.33558,404.04034
2025-06-18T12:18:39+00:00,2499,27.5,80.0,17.3,23.0,2.39219,404.14645
2025-06-18T12:19:28+00:00,2500,27.5,80.0,18.1,23.1,2.43826,404.02539
2025-06-18T12:20:19+00:00,2501,27.4,80.3,17.0,24.3,2.43246,403.98816
2025-06-18T12:21:10+00:00,2502,27.4,80.5,18.2,25.3,2.41513,404.07797
2025-06-18T12:22:00+00:00,2503,27.5,80.3,17.5,24.4,2.42667,403.98816
2025-06-18T12:22:49+00:00,2504,27.4,80.5,16.8,21.7,2.42667,404.04034
2025-06-18T12:23:42+00:00,2505,27.4,80.5,17.2,22.1,2.4209,404.08554
2025-06-18T12:24:31+00:00,2506,27.5,80.4,17.5,21.5,2.35245,404.08554
2025-06-18T12:25:20+00:00,2507,27.5,80.2,17.5,24.3,2.38648,403.92917
2025-06-18T12:26:10+00:00,2508,27.5,80.3,17.5,22.6,2.37509,404.10071
2025-06-18T12:27:03+00:00,2509,27.4,80.5,17.0,23.3,2.4209,404.0629
2025-06-18T12:27:55+00:00,2510,27.3,80.8,16.8,21.4,2.43246,403.99557
2025-06-18T12:28:45+00:00,2511,27.3,80.9,16.6,21.4,2.43826,404.10071
2025-06-18T12:29:34+00:00,2512,27.3,81.0,16.9,21.3,2.38648,403.98816
2025-06-18T12:30:24+00:00,2513,27.2,81.2,16.2,19.8,2.42667,404.00299
2025-06-18T12:31:13+00:00,2514,27.2,81.2,17.7,22.4,2.39791,404.01047
2025-06-18T12:32:03+00:00,2515,27.2,81.3,17.2,21.5,2.35245,404.03287
2025-06-18T12:32:55+00:00,2516,27.3,81.1,17.2,21.2,2.39219,403.92917
